outcome,explain,coef,se,p_value,nobs,r2
roa_t1,auth_index,0.010151532540008307,0.003139646995924041,0.0012235371695863983,60,0.3586757348449223
rev_growth_t1,auth_index,0.04336177089309981,0.010946198187325283,7.452580584787111e-05,60,0.3870631755901317
asset_turnover_t1,auth_index,0.08885253300553903,0.02236012347625929,7.076321764969765e-05,60,0.25655243407190287
perf_index,auth_index,0.8330935680585021,0.15342474662284428,5.6359827659961894e-08,60,0.4164920701978332
roa_t1,pack_index,-0.00866038322046667,0.0037714183598892143,0.021657594222907996,60,0.28081162600017506
rev_growth_t1,pack_index,-0.042278594871422895,0.016210086121513777,0.009102880816804944,60,0.33186747456186727
asset_turnover_t1,pack_index,-0.07019268028886325,0.036011154578917376,0.05127241421800869,60,0.15047063280353856
perf_index,pack_index,-0.7244407440150784,0.23759484693664287,0.002295592722620807,60,0.2614923898299857
